year,month,consumption_TWh,co2_emission_mt,country_enc,energy_source_enc,country_enc,energy_source_enc
2018,8,2248.82,121.16,4,2,4,2
2004,7,2630.85,602.45,6,1,6,1
1997,11,3181.34,986.09,5,3,5,3
2010,8,2446.28,1090.11,4,1,4,1
2008,12,3254.1,112.04,1,0,1,0
2012,1,757.44,204.78,2,0,2,0
2000,6,1317.11,415.48,4,2,4,2
2000,11,1521.84,163.41,2,3,2,3
2013,12,302.91,756.39,6,0,6,0
2013,3,2568.47,1719.74,4,2,4,2
1992,5,1979.29,1515.08,0,3,0,3
2011,2,1841.71,1695.35,2,0,2,0
1991,11,379.72,1379.26,7,3,7,3
2013,4,704.63,972.09,4,4,4,4
2019,6,311.76,268.47,6,5,6,5
1991,1,3682.77,1610.01,5,5,5,5
2010,2,3560.82,1507.95,3,1,3,1
2022,2,308.25,266.36,0,1,0,1
2001,9,810.95,1963.8,7,2,7,2
2011,11,2703.74,1839.92,5,3,5,3
2014,12,3087.21,1318.67,3,6,3,6
2016,5,1863.91,1214.06,4,3,4,3
2017,5,2285.22,742.3,0,4,0,4
2005,6,4918.89,347.86,6,3,6,3
2004,10,1756.54,240.6,5,5,5,5
1992,3,1378.31,590.2,1,6,1,6
1996,9,3038.28,733.79,7,3,7,3
2010,3,1932.98,1610.98,2,3,2,3
1998,4,2051.49,1044.06,5,4,5,4
2007,12,4422.51,75.39,6,5,6,5
1993,9,3537.97,1539.38,5,6,5,6
2014,10,2194.98,1864.36,1,4,1,4
2003,8,2037.75,915.97,7,4,7,4
1998,6,1967.67,637.43,7,3,7,3
2015,8,4924.55,1456.77,4,3,4,3
1991,1,2839.82,16.25,2,1,2,1
2009,4,4016.0,135.32,1,3,1,3
2017,10,1445.47,276.85,2,6,2,6
1996,11,3559.4,1194.06,5,6,5,6
1997,4,3499.94,1175.97,7,2,7,2
2024,2,4949.86,784.66,7,4,7,4
2003,2,1559.66,1766.23,4,3,4,3
2006,11,2590.14,1168.8,5,5,5,5
1993,10,2500.36,887.16,4,4,4,4
1991,9,4392.64,1845.3,3,6,3,6
1995,6,1327.01,210.87,3,4,3,4
1993,7,1925.33,984.61,3,2,3,2
2018,11,4745.46,1012.27,3,4,3,4
2007,11,573.12,913.94,1,4,1,4
2015,4,975.05,1766.01,1,4,1,4
2023,3,2204.85,43.73,6,1,6,1
1999,3,2194.45,1785.36,6,1,6,1
2003,5,2647.85,1015.44,5,3,5,3
2020,11,2050.69,1227.64,3,1,3,1
2004,6,2672.07,1528.06,2,3,2,3
1997,2,4022.94,267.16,2,1,2,1
2003,7,2260.83,768.55,2,6,2,6
2012,7,306.43,907.38,3,2,3,2
2010,1,4901.71,487.94,1,4,1,4
2005,12,4725.64,957.7,0,2,0,2
2007,7,1331.21,556.59,3,3,3,3
2013,4,720.0,998.5,5,3,5,3
2015,4,1592.11,411.62,3,6,3,6
2014,3,3601.95,1343.52,1,0,1,0
2018,9,4504.41,413.63,7,5,7,5
2004,3,167.98,1029.35,1,1,1,1
1990,4,4726.93,790.02,2,6,2,6
2014,3,158.38,535.55,5,5,5,5
1996,8,4551.16,158.67,3,1,3,1
1998,8,2747.87,1983.43,1,2,1,2
2013,10,875.0,52.87,6,5,6,5
1990,8,4178.21,580.22,7,6,7,6
1997,5,3451.07,408.21,7,1,7,1
2013,7,4832.86,1168.42,7,5,7,5
2000,12,1656.29,661.56,2,6,2,6
2006,3,809.0,1589.01,5,2,5,2
1997,8,4913.31,1144.34,1,1,1,1
2024,10,4313.5,1961.5,0,4,0,4
2024,2,3836.09,26.83,0,6,0,6
2022,8,2162.87,1451.98,6,3,6,3
1994,6,3083.0,334.67,2,1,2,1
2017,2,1331.59,1276.92,4,6,4,6
1996,12,209.58,445.5,0,4,0,4
1998,6,1954.19,355.72,6,6,6,6
1997,11,4455.91,303.88,0,6,0,6
2001,10,2501.57,647.74,6,0,6,0
2023,2,10.73,1178.44,3,0,3,0
2022,3,465.8,885.26,0,5,0,5
2012,11,3756.49,140.85,0,2,0,2
2013,5,3620.32,1371.76,6,5,6,5
2024,1,2364.81,215.69,1,4,1,4
2011,9,4775.46,26.17,7,6,7,6
