year,month,country,energy_source,consumption_TWh,co2_emission_mt
2018,8,India,hydro,2248.82,121.16
2004,7,UK,gas,2630.85,602.45
1997,11,Japan,nuclear,3181.34,986.09
2010,8,India,gas,2446.28,1090.11
2008,12,China,coal,3254.1,112.04
2012,1,France,coal,757.44,204.78
2000,6,India,hydro,1317.11,415.48
2000,11,France,nuclear,1521.84,163.41
2013,12,UK,coal,302.91,756.39
2013,3,India,hydro,2568.47,1719.74
1992,5,Brazil,nuclear,1979.29,1515.08
2011,2,France,coal,1841.71,1695.35
1991,11,USA,nuclear,379.72,1379.26
2013,4,India,oil,704.63,972.09
2019,6,UK,solar,311.76,268.47
1991,1,Japan,solar,3682.77,1610.01
2010,2,Germany,gas,3560.82,1507.95
2022,2,Brazil,gas,308.25,266.36
2001,9,USA,hydro,810.95,1963.8
2011,11,Japan,nuclear,2703.74,1839.92
2014,12,Germany,wind,3087.21,1318.67
2016,5,India,nuclear,1863.91,1214.06
2017,5,Brazil,oil,2285.22,742.3
2005,6,UK,nuclear,4918.89,347.86
2004,10,Japan,solar,1756.54,240.6
1992,3,China,wind,1378.31,590.2
1996,9,USA,nuclear,3038.28,733.79
2010,3,France,nuclear,1932.98,1610.98
1998,4,Japan,oil,2051.49,1044.06
2007,12,UK,solar,4422.51,75.39
1993,9,Japan,wind,3537.97,1539.38
2014,10,China,oil,2194.98,1864.36
2003,8,USA,oil,2037.75,915.97
1998,6,USA,nuclear,1967.67,637.43
2015,8,India,nuclear,4924.55,1456.77
1991,1,France,gas,2839.82,16.25
2009,4,China,nuclear,4016.0,135.32
2017,10,France,wind,1445.47,276.85
1996,11,Japan,wind,3559.4,1194.06
1997,4,USA,hydro,3499.94,1175.97
2024,2,USA,oil,4949.86,784.66
2003,2,India,nuclear,1559.66,1766.23
2006,11,Japan,solar,2590.14,1168.8
1993,10,India,oil,2500.36,887.16
1991,9,Germany,wind,4392.64,1845.3
1995,6,Germany,oil,1327.01,210.87
1993,7,Germany,hydro,1925.33,984.61
2018,11,Germany,oil,4745.46,1012.27
2007,11,China,oil,573.12,913.94
2015,4,China,oil,975.05,1766.01
2023,3,UK,gas,2204.85,43.73
1999,3,UK,gas,2194.45,1785.36
2003,5,Japan,nuclear,2647.85,1015.44
2020,11,Germany,gas,2050.69,1227.64
2004,6,France,nuclear,2672.07,1528.06
1997,2,France,gas,4022.94,267.16
2003,7,France,wind,2260.83,768.55
2012,7,Germany,hydro,306.43,907.38
2010,1,China,oil,4901.71,487.94
2005,12,Brazil,hydro,4725.64,957.7
2007,7,Germany,nuclear,1331.21,556.59
2013,4,Japan,nuclear,720.0,998.5
2015,4,Germany,wind,1592.11,411.62
2014,3,China,coal,3601.95,1343.52
2018,9,USA,solar,4504.41,413.63
2004,3,China,gas,167.98,1029.35
1990,4,France,wind,4726.93,790.02
2014,3,Japan,solar,158.38,535.55
1996,8,Germany,gas,4551.16,158.67
1998,8,China,hydro,2747.87,1983.43
2013,10,UK,solar,875.0,52.87
1990,8,USA,wind,4178.21,580.22
1997,5,USA,gas,3451.07,408.21
2013,7,USA,solar,4832.86,1168.42
2000,12,France,wind,1656.29,661.56
2006,3,Japan,hydro,809.0,1589.01
1997,8,China,gas,4913.31,1144.34
2024,10,Brazil,oil,4313.5,1961.5
2024,2,Brazil,wind,3836.09,26.83
2022,8,UK,nuclear,2162.87,1451.98
1994,6,France,gas,3083.0,334.67
2017,2,India,wind,1331.59,1276.92
1996,12,Brazil,oil,209.58,445.5
1998,6,UK,wind,1954.19,355.72
1997,11,Brazil,wind,4455.91,303.88
2001,10,UK,coal,2501.57,647.74
2023,2,Germany,coal,10.73,1178.44
2022,3,Brazil,solar,465.8,885.26
