year,month,cpi,inflation_rate,country_enc,month_sin,month_cos
2018,8,205.3,2.58,2,-0.8660254013912434,-0.5000000041451357
2004,7,241.25,0.54,3,-0.49999999637300596,-0.8660254058784846
1997,11,188.11,1.47,7,-0.5000000056995618,0.8660254004937951
2010,8,77.76,9.86,2,-0.8660254013912434,-0.5000000041451357
2008,12,202.73,0.14,5,-7.1795860596832236e-09,1.0
2012,1,192.45,4.13,0,0.499999999481858,0.8660254040835881
2000,6,175.08,11.36,2,3.5897930298416118e-09,-1.0
2000,11,191.11,11.89,0,-0.5000000056995618,0.8660254004937951
2013,12,134.77,2.04,3,-7.1795860596832236e-09,1.0
2013,3,250.36,4.76,2,1.0,1.7948965149208059e-09
1992,5,110.78,-0.03,1,0.5000000025907099,-0.8660254022886916
2011,2,158.01,2.23,0,0.8660254031861399,0.500000001036284
1991,11,228.38,-1.01,6,-0.5000000056995618,0.8660254004937951
2013,4,190.57,7.73,2,0.8660254049810362,-0.49999999792743216
2019,6,82.63,-1.42,3,3.5897930298416118e-09,-1.0
1991,1,173.86,-0.44,7,0.499999999481858,0.8660254040835881
2010,2,236.73,6.2,4,0.8660254031861399,0.500000001036284
2022,2,67.6,5.47,1,0.8660254031861399,0.500000001036284
2001,9,262.92,8.78,6,-1.0,-5.3846893227178126e-09
2011,11,177.81,-0.46,7,-0.5000000056995618,0.8660254004937951
2014,12,182.07,4.87,4,-7.1795860596832236e-09,1.0
2016,5,191.0,10.2,2,0.5000000025907099,-0.8660254022886916
2017,5,110.89,5.04,1,0.5000000025907099,-0.8660254022886916
2005,6,145.19,11.83,3,3.5897930298416118e-09,-1.0
2004,10,217.22,7.32,7,-0.8660254067759328,0.4999999948185802
1992,3,148.75,1.08,5,1.0,1.7948965149208059e-09
1996,9,284.47,0.63,6,-1.0,-5.3846893227178126e-09
2010,3,276.59,4.96,0,1.0,1.7948965149208059e-09
1998,4,94.0,4.82,7,0.8660254049810362,-0.49999999792743216
2007,12,99.64,9.7,3,-7.1795860596832236e-09,1.0
1993,9,152.76,-0.78,7,-1.0,-5.3846893227178126e-09
2014,10,195.79,6.78,5,-0.8660254067759328,0.4999999948185802
2003,8,270.6,11.79,6,-0.8660254013912434,-0.5000000041451357
1998,6,81.4,4.58,6,3.5897930298416118e-09,-1.0
2015,8,248.84,8.08,2,-0.8660254013912434,-0.5000000041451357
1991,1,80.36,11.74,0,0.499999999481858,0.8660254040835881
2009,4,188.84,7.92,5,0.8660254049810362,-0.49999999792743216
2017,10,194.89,3.09,0,-0.8660254067759328,0.4999999948185802
1996,11,291.0,8.13,7,-0.5000000056995618,0.8660254004937951
1997,4,237.96,-1.0,6,0.8660254049810362,-0.49999999792743216
2024,2,230.84,3.24,6,0.8660254031861399,0.500000001036284
2003,2,56.26,7.1,2,0.8660254031861399,0.500000001036284
2006,11,239.06,7.57,7,-0.5000000056995618,0.8660254004937951
1993,10,219.53,-0.62,2,-0.8660254067759328,0.4999999948185802
1991,9,219.8,3.0,4,-1.0,-5.3846893227178126e-09
1995,6,62.66,0.95,4,3.5897930298416118e-09,-1.0
1993,7,147.98,-1.39,4,-0.49999999637300596,-0.8660254058784846
2018,11,78.71,-0.21,4,-0.5000000056995618,0.8660254004937951
2007,11,278.01,2.98,5,-0.5000000056995618,0.8660254004937951
2015,4,141.72,3.36,5,0.8660254049810362,-0.49999999792743216
