year,month,country,cpi,inflation_rate
2018,8,Germany,205.3,2.58
2004,7,India,241.25,0.54
1997,11,Vietnam,188.11,1.47
2010,8,Germany,77.76,9.86
2008,12,UK,202.73,0.14
2012,1,Canada,192.45,4.13
2000,6,Germany,175.08,11.36
2000,11,Canada,191.11,11.89
2013,12,India,134.77,2.04
2013,3,Germany,250.36,4.76
1992,5,France,110.78,-0.03
2011,2,Canada,158.01,2.23
1991,11,USA,228.38,-1.01
2013,4,Germany,190.57,7.73
2019,6,India,82.63,-1.42
1991,1,Vietnam,173.86,-0.44
2010,2,Japan,236.73,6.2
2022,2,France,67.6,5.47
2001,9,USA,262.92,8.78
2011,11,Vietnam,177.81,-0.46
2014,12,Japan,182.07,4.87
2016,5,Germany,191.0,10.2
2017,5,France,110.89,5.04
2005,6,India,145.19,11.83
2004,10,Vietnam,217.22,7.32
1992,3,UK,148.75,1.08
1996,9,USA,284.47,0.63
2010,3,Canada,276.59,4.96
1998,4,Vietnam,94.0,4.82
2007,12,India,99.64,9.7
1993,9,Vietnam,152.76,-0.78
2014,10,UK,195.79,6.78
2003,8,USA,270.6,11.79
1998,6,USA,81.4,4.58
2015,8,Germany,248.84,8.08
1991,1,Canada,80.36,11.74
2009,4,UK,188.84,7.92
2017,10,Canada,194.89,3.09
1996,11,Vietnam,291.0,8.13
1997,4,USA,237.96,-1.0
2024,2,USA,230.84,3.24
2003,2,Germany,56.26,7.1
2006,11,Vietnam,239.06,7.57
1993,10,Germany,219.53,-0.62
1991,9,Japan,219.8,3.0
1995,6,Japan,62.66,0.95
1993,7,Japan,147.98,-1.39
2018,11,Japan,78.71,-0.21
2007,11,UK,278.01,2.98
2015,4,UK,141.72,3.36
2023,3,India,269.06,8.99
1999,3,India,129.43,-0.71
2003,5,Vietnam,217.79,2.74
2020,11,Japan,52.36,11.02
2004,6,Canada,224.41,0.12
1997,2,Canada,224.32,-1.66
2003,7,Canada,84.46,0.2
2012,7,Japan,161.86,11.48
2010,1,UK,220.8,5.14
2005,12,France,182.71,6.98
2007,7,Japan,281.35,-0.62
2013,4,Vietnam,102.71,3.91
2015,4,Japan,291.27,5.19
2014,3,UK,173.25,4.8
2018,9,USA,299.94,10.04
2004,3,UK,156.59,0.84
1990,4,Canada,267.18,3.52
2014,3,Vietnam,259.04,6.87
1996,8,Japan,184.73,9.11
1998,8,UK,240.67,5.02
2013,10,India,235.7,7.78
1990,8,USA,83.18,-1.28
1997,5,USA,233.61,1.02
2013,7,USA,231.72,-1.76
2000,12,Canada,157.6,7.54
2006,3,Vietnam,88.43,-1.28
1997,8,UK,162.8,3.36
2024,10,France,236.73,-0.31
2024,2,France,269.91,-1.76
2022,8,India,142.24,8.76
1994,6,Canada,134.52,8.71
2017,2,Germany,99.2,-1.84
1996,12,France,141.69,0.61
1998,6,India,109.73,4.52
1997,11,France,134.19,11.92
2001,10,India,185.14,-0.38
2023,2,Japan,191.98,0.18
2022,3,France,235.39,11.03
2012,11,France,295.75,1.84
2013,5,India,72.39,8.91
2024,1,UK,108.9,-0.91
2011,9,USA,152.47,7.67
2016,10,Vietnam,291.9,5.38
2024,3,India,120.32,3.14
1990,12,India,269.31,7.97
2024,1,Germany,151.49,7.86
2003,6,Germany,289.67,4.59
1992,1,Vietnam,59.07,10.9
1990,3,Japan,110.49,5.08
1994,7,Vietnam,59.75,7.31
2015,4,Germany,237.92,8.85
2003,9,Canada,212.98,6.31
2016,7,France,108.01,0.91
1998,5,Vietnam,63.77,-0.48
2004,9,France,248.06,-0.18
2004,3,Canada,239.99,1.07
2015,11,Japan,279.84,2.38
2002,8,UK,91.8,9.8
2021,8,France,193.5,3.0
2021,4,USA,279.55,-0.18
1993,1,France,101.39,0.76
2019,4,Germany,201.83,6.19
2012,9,UK,201.78,2.82
2004,10,France,60.45,3.39
2018,1,USA,245.56,3.0
2002,3,Canada,247.38,4.72
2021,8,UK,97.92,5.72
1996,3,UK,60.63,5.97
2011,2,France,230.01,6.07
2017,1,UK,83.7,-0.27
1991,9,UK,222.36,9.18
1995,11,Germany,87.57,-0.78
2017,10,India,265.08,2.18
2017,3,UK,202.87,11.51
